task,program,pass
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) true) true) (nth_primary_color (grid_to_block $0) 1)) true)),True
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) true) true) (nth_primary_color (grid_to_block $0) 1)) false)),True
0b148d64.json,(lambda (to_min_grid (remove_color (reflect (reflect (remove_black_b (grid_to_block $0)) false) false) (nth_primary_color (grid_to_block $0) 1)) true)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) false false)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) false false)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) false true)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) true false)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) false false)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false false) true true)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) false true)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) false true) true false)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) false true)),True
0b148d64.json,(lambda (blocks_to_min_grid (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 2) true false) true false)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) false)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) true)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (negate_boolean false))),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (negate_boolean true))),True
1cf80156.json,(lambda (to_min_grid (remove_color (grid_to_block $0) black) false)),True
1cf80156.json,(lambda (to_min_grid (remove_color (grid_to_block $0) black) true)),True
1cf80156.json,(lambda (to_min_grid (box_block (remove_black_b (grid_to_block $0))) false)),True
1cf80156.json,(lambda (to_min_grid (box_block (remove_black_b (grid_to_block $0))) true)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (box_block (grid_to_block $0))) false)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (box_block (grid_to_block $0))) true)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (remove_black_b (grid_to_block $0))) true)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (remove_black_b (grid_to_block $0))) false)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) true true)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 false true) true true)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true false) true true)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) false true)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true true) true false)),True
1cf80156.json,(lambda (blocks_to_min_grid (find_same_color_blocks $0 true false) false true)),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (is_tile (grid_to_block $0)))),True
1cf80156.json,(lambda (to_min_grid (remove_black_b (grid_to_block $0)) (touches_any_boundary (grid_to_block $0)))),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) false) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) false) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_width $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) false) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) false) false)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) false) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) false) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_inferred_b $0 false true) (lambda (get_height $0)) false) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_width $0)) false) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) (negate_boolean true)) false)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_black_b $0 false false) (lambda (get_height $0)) (negate_boolean true)) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_inferred_b $0 false true) (lambda (get_height $0)) (negate_boolean true)) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) (negate_boolean true)) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_width $0)) (negate_boolean true)) true)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) (negate_boolean true)) true)),False
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (negate_boolean true)) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (is_tile (grid_to_block $0))) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) (is_tile (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $0)) false))) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) false) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) false) false)),True
1f85a75f.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) false) false)),True
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) blue) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (remove_black_b (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true)) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) blue) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) teal) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) teal) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) false) grey) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (fill_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) grey) false))) true true)),False
22168020.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_until_touches_block $0 (replace_color (merge_blocks (tiles_to_blocks (find_tiles_by_black_b $1)) true) black red) false))) true true)),False
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (negate_boolean false) false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (negate_boolean true))),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (touches_any_boundary (grid_to_block $0)) false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (grid_to_block $0)))),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (remove_black_b (extend_towards_until_edge $0 east)))) true false)),True
22eb0ac0.json,(lambda (to_original_grid_overlay (merge_blocks (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) false) true)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (filter_tiles (find_tiles_by_black_b $0) (lambda true)) (lambda (extend_towards_until_edge $0 east))) true false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge (block_to_tile (tile_to_block $0)) east))) true false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge (get_block_center (tile_to_block $0)) east))) true false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) (touches_any_boundary (replace_color (grid_to_block $0) orange grey)) false)),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (replace_color (grid_to_block $0) orange grey)))),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (wrap_block (grid_to_block $0) invisible false)))),True
22eb0ac0.json,(lambda (blocks_to_original_grid (map_tiles (find_tiles_by_black_b $0) (lambda (extend_towards_until_edge $0 east))) true (is_tile (fill_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 0))))),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (box_block $0))) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (remove_black_b $0))) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (box_block $0))) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_width (box_block $0))) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_height $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_num_tiles $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_num_tiles $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_num_tiles $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false false) (lambda (get_height $0)) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_height $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_height $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (fill_color $0 blue))) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (fill_color $0 blue))) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_height (fill_color $0 (nth_primary_color (grid_to_block $1) 0)))) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda (get_num_tiles (fill_color $0 (nth_primary_color (grid_to_block $1) 0)))) true) true)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 false true) (lambda (get_width $0)) true) false)),True
23b5c85d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda (get_width $0)) true) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (center_block_on_tile (grid_to_block $0) (block_to_tile (move_towards_until_edge (get_block_center (grid_to_block $0)) south))) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (center_block_on_tile (grid_to_block $0) (get_block_center (move_towards_until_edge (get_block_center (grid_to_block $0)) south))) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south (negate_boolean true)) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) (negate_boolean true))),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (remove_black_b (grid_to_block $0)) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (remove_black_b (move (grid_to_block $0) 1 south false)) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (remove_color (grid_to_block $0) yellow) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (duplicate (grid_to_block $0) east 1) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (replace_color (grid_to_block $0) orange red) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (filter_block_tiles (move (grid_to_block $0) 1 south false) (lambda true)) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (filter_block_tiles (grid_to_block $0) (lambda true)) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (box_block (move (grid_to_block $0) 1 south false)) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (box_block (grid_to_block $0)) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (remove_black_b (remove_black_b (move (grid_to_block $0) 1 south false))) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (replace_color (move (grid_to_block $0) 1 south false) pink grey) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (replace_color (move (grid_to_block $0) 1 south false) pink red) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (replace_color (move (grid_to_block $0) 1 south false) orange grey) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (replace_color (move (grid_to_block $0) 1 south false) orange red) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (duplicate (grid_to_block $0) north_east 3) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda 1) true) 1 south false) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south (is_tile (grid_to_block $0))) false)),True
25ff71a9.json,(lambda (to_original_grid_overlay (move (grid_to_block $0) 1 south false) (is_tile (grid_to_block $0)))),True
25ff71a9.json,(lambda (to_original_grid_overlay (remove_black_b (move (grid_to_block $0) 1 south (negate_boolean true))) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (singleton_block (find_same_color_blocks $0 true true)) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (singleton_block (find_same_color_blocks $0 true true)) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_same_color_blocks $0 true true) false) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_same_color_blocks $0 true true) true) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (filter_block_tiles (remove_black_b (grid_to_block $0)) (lambda (is_exterior $0 true)))) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true)) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (map_block_tiles (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true) (lambda $0)) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (remove_black_b (move (grid_to_block $0) 3 east true)) true)),True
28bf18c6.json,(lambda (to_min_grid (remove_black_b (move (grid_to_block $0) 3 east true)) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_same_color_blocks $0 true true) true) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_same_color_blocks $0 true true) false) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (remove_black_b (move (grid_to_block $0) 3 west true)) true)),True
28bf18c6.json,(lambda (to_min_grid (remove_black_b (move (grid_to_block $0) 3 west true)) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_blocks_by_inferred_b $0 true true) false) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_blocks_by_inferred_b $0 true true) false) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_blocks_by_inferred_b $0 true true) true) east 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (merge_blocks (find_blocks_by_inferred_b $0 true true) true) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) west 1) false)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (grid_to_block $0))) west 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (remove_black_b (grid_to_block $0)))) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (box_block (remove_black_b (grid_to_block $0)))) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 0))) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (duplicate (box_block (remove_black_b (merge_blocks (splitblocks_to_blocks (split_grid $0 false)) true))) east 1) true)),True
28bf18c6.json,(lambda (to_min_grid (filter_block_tiles (remove_black_b (move (grid_to_block $0) 3 east true)) (lambda (is_exterior $0 true))) false)),True
28bf18c6.json,(lambda (to_min_grid (filter_block_tiles (remove_black_b (move (grid_to_block $0) 3 east true)) (lambda (is_exterior $0 true))) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda (get_num_tiles $0)) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (map_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda $0)) (lambda (get_num_tiles $0)) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (filter_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda true)) (lambda (get_num_tiles $0)) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda (get_num_tiles (remove_color $0 blue))) true) true)),False
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (filter_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda (negate_boolean false))) (lambda (get_num_tiles $0)) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda (get_num_tiles (remove_color $0 (nth_primary_color $0 2)))) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (map_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda $0)) (lambda (get_num_tiles (remove_color $0 blue))) true) true)),False
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (filter_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda true)) (lambda (get_num_tiles (remove_color $0 blue))) true) true)),False
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda (get_num_tiles (remove_color $0 (nth_primary_color (grid_to_block $1) 2)))) true) true)),True
2dc579da.json,(lambda (to_min_grid (first_of_sorted_object_list (filter_blocks (find_blocks_by_color $0 (nth_primary_color (grid_to_block $0) 0) false false) (lambda true)) (lambda (get_num_tiles (remove_color $0 (nth_primary_color $0 2)))) true) true)),True
39a8645d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true false) (lambda 1) true) false)),False
39a8645d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 0) true) false)),False
39a8645d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 0) true) true)),False
39a8645d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true) false)),False
39a8645d.json,(lambda (to_min_grid (first_of_sorted_object_list (find_same_color_blocks $0 true true) (lambda 1) true) true)),False
